ttd_drug_id,drug_name,disease_name,icd11_code,clinical_status
D0X7DE,Nefazodone,Depression,6A70-6A7Z,Withdrawn from market
D0X6OW,Cefminox sodium,Bacterial infection,1A00-1C4Z,Approved
D0X6LC,Monteplase,Thrombin deficiency,3B14.Z,Approved
D0X6IU,Chloramphenicol,Bacterial infection,1A00-1C4Z,Approved
D0X6HD,Anileridine,Pain,MG30-MG3Z,Approved
D0X6GN,Loteprednol Etabonate,Eye inflammation,9A02,Approved
D0X6BV,Vilazodone,Major depressive disorder,6A70.3,Approved
D0X5ZI,Ambrisentan,Pulmonary arterial hypertension,BB01.0,Approved
D0X5XU,Decitabine,Myelodysplastic syndrome,2A37,Approved
D0X5WJ,Levodropropizine,Cough,MD12,Approved
D0X5UN,Mirabegron,Overactive bladder,GC50.0,Approved
D0X5UL,Salmonella typhi vaccine,Salmonella infection,1A09,Approved
D0X5SJ,Alacepril,Cardiovascular disease,BA00-BE2Z,Approved
D0X5SI,Carbocisteine,Chronic obstructive pulmonary disease,CA22,Approved
D0X5SD,Disulfiram,Alcohol dependence,6C40.2,Approved
D0X5NX,Clenbuterol,Chronic breathing disorder,7A4Z,Approved
D0X5KF,Hydrocodone,Pain,MG30-MG3Z,Approved
D0X4ZR,Bupropion,Smoking dependence,6C4A.2,Approved
D0X4RS,Cortisone Acetate,Solid tumour/cancer,2A00-2F9Z,Approved
D0X4RN,Lidocaine,Anaesthesia,9A78.6,Approved
D0X4RN,Lidocaine,Dysmenorrhea,GA34.3,Phase 2
D0X4JN,Pelubiprofen,Back pain,ME84.Z,Approved
D0X4FM,Docusate,Constipation,DD91.1,Approved
D0X4CS,Cefroxadine,Bacterial infection,1A00-1C4Z,Approved
D0X4BZ,Virulizin,Breast cancer,2C60-2C65,Approved
D0X3FX,Naloxone,Narcotic depression,6A7Z,Approved
D0X3FX,Naloxone,Pruritus,EC90,Phase 3
D0X3FX,Naloxone,Respiratory depression,MD11.5,Phase 3
D0X3FX,Naloxone,Opioid dependence,6C43.2Z,Phase 1
D0X2UE,Sulprostone,Medical abortion,JA00.1Z,Approved
D0X2RJ,Technetium TC 99M votumumab,Colorectal cancer,2B91.Z,Approved
D0X2MB,Oxprenolol,Hypertension,BA00-BA04,Approved
D0X2LV,Betamethasone butyrate propion,Inflammation,1A00-CA43.1,Approved
D0X2IE,Dimercaprol,Poison intoxication,NE6Z,Approved
D0X2HE,GlycoPEG-GCSF,Solid tumour/cancer,2A00-2F9Z,Approved
D0X2FT,Gadoxetate disodium,Imaging,QA0B,Approved
D0X2DK,Phenoxybenzamine,Malignant essential hypertension,BA00,Approved
D0X1WJ,Josamycin,Bacterial infection,1A00-1C4Z,Approved
D0X1RR,Coccidioidin,Dermatomycosis,EA60,Approved
D0X1HE,Ozenoxacin,Impetigo,1B72,Approved
D0X1HE,Ozenoxacin,Bacterial infection,1A00-1C4Z,Phase 3
D0X1EZ,Cyclofenil,Infertility,GB04,Approved
D0X0WU,Tolperisone,Muscle spasm,MB47.3,Approved
D0X0RI,Mexiletine,Ventricular tachycardia,BC71,Approved
D0X0GI,Gadoversetamide,Myocardial infarction,BA41-BA43,Approved
D0X0CH,Ganaxolone,Epileptic seizures,8A61-8A6Z,Approved
D0X0CH,Ganaxolone,Complex partial seizure,8A68.0,Phase 3
D0X0CH,Ganaxolone,Postpartum depression,6E20.0,Phase 2
D0WY9N,Agrimophol,Parasitic infection,1D0Y-1G2Z,Approved
D0WY9F,MenAfriVac,Neisseria meningitis infection,1C1C.0,Approved
D0WY5Q,Rivastigmine,Alzheimer disease,8A20,Approved
D0WV4M,Propicillin,Bacterial infection,1A00-1C4Z,Approved
D0WV3U,Prazosin,Hypertension,BA00-BA04,Approved
D0WV3U,Prazosin,Congestive heart failure,BD10,Approved
D0WV3U,Prazosin,Benign prostatic hyperplasia,GA90,Approved
D0WS1X,Cefdinir,Bacterial infection,1A00-1C4Z,Approved
D0WP0B,Acemannan,Human immunodeficiency virus infection,1C62,Approved
D0WP0B,Acemannan,Canine and feline spontaneous neoplasm,2A00-2F9Z,Approved
D0WO8W,Mepivacaine,Analgesia,MB40.8,Approved
D0WN0U,Felodipine,Hypertension,BA00-BA04,Approved
D0WL5F,Grazax,Allergic rhinitis,CA08.0,Approved
D0WJ5M,Bimekizumab,Plaque psoriasis,EA90.0,Approved
D0WJ5M,Bimekizumab,Psoriatic arthritis,FA21,Phase 2
D0WI3T,Saquinavir,Human immunodeficiency virus infection,1C62,Approved
D0WH4P,ENASIDENIB MESYLATE,Acute myeloid leukaemia,2A60,Approved
D0WF7L,Brilinta,Thrombosis,DB61-GB90,Approved
D0WF7L,Brilinta,Myocardial infarction,BA41-BA43,Phase 3
D0WF7L,Brilinta,Arterial thrombosis,DB61-DD30,Phase 3
D0WE3O,Morphine,Chronic pain,MG30,Approved
D0WD8M,Connexyn,Attention deficit hyperactivity disorder,6A05.Z,Approved
D0WB9V,Barbiturate,Depression,6A70-6A7Z,Approved
D0WB9V,Barbiturate,Anaesthesia,9A78.6,Approved
D0W9ZF,Quinagolide,Hyperprolactinaemia,5A60.1,Approved
D0W9YW,Spesolimab,Psoriasis vulgaris,EA90,Approved
D0W9YW,Spesolimab,Plaque psoriasis,EA90.0,Phase 2
D0W9YW,Spesolimab,Palmoplantar pustulosis,EA90.42,Phase 2
D0W9WF,Ketoprofen,Musculoskeletal pain,MG30,Approved
D0W9WF,Ketoprofen,Pain,MG30-MG3Z,Phase 3
D0W9WF,Ketoprofen,Migraine,8A80,Phase 2
D0W9WF,Ketoprofen,Osteoarthritis,FA00-FA05,Phase 1
D0W9VB,Diphenidol,Nausea,MD90,Approved
D0W9TE,Pentaerythritol tetranitrate,Angina pectoris,BA40,Approved
D0W9OR,OspA lipoprotein,Lyme disease,1C1G,Approved
D0W9MM,Vinblastine,Solid tumour/cancer,2A00-2F9Z,Approved
D0W9LX,Carvedilol,Congestive heart failure,BD10,Approved
D0W9GA,Levormeloxifene,Breast cancer,2C60-2C65,Approved
D0W8SJ,Minaprine,Depression,6A70-6A7Z,Approved
D0W8SB,Penbutolol,Hypertension,BA00-BA04,Approved
D0W8HN,Bavencio,Merkel cell carcinoma,2C34,Approved
D0W8HN,Bavencio,Gastric adenocarcinoma,2B72,Phase 3
D0W8HN,Bavencio,Colon cancer,2B90.Z,Phase 3
D0W8HN,Bavencio,Urothelial carcinoma,2C92.0,Phase 3
D0W8HN,Bavencio,Head and neck cancer,2D42,Phase 3
D0W8HN,Bavencio,Squamous cell carcinoma,2B60-2D01,Phase 2
D0W8HN,Bavencio,Melanoma,2C30,Phase 2
D0W8HN,Bavencio,Breast cancer,2C60-2C65,Phase 2
D0W8HN,Bavencio,Testicular cancer,2C80,Phase 2
D0W8HN,Bavencio,Haematological malignancy,2B33.Y,Phase 1
D0W8FU,Autologous cartilage system,Cartilage lesions,NC93.3Z,Approved
D0W8BO,Zilucoplan,Generalized myasthenia gravis,8C60,Approved
D0W8BO,Zilucoplan,Myasthenia gravis,8C6Y,Phase 3
D0W8BO,Zilucoplan,Paroxysmal nocturnal haemoglobinuria,3A21.0,Phase 2
D0W7WC,Ivacaftor,Cystic fibrosis,CA25,Approved
D0W7RJ,Hetacillin,Bacterial infection,1A00-1C4Z,Approved
D0W7OE,Aprindine,Cardiac arrhythmias,BC9Z,Approved
D0W7JZ,Tivozanib,Renal cell carcinoma,2C90,Approved
D0W7HE,Alpelisib,Breast cancer,2C60-2C65,Approved
D0W7HE,Alpelisib,Solid tumour/cancer,2A00-2F9Z,Phase 2
D0W6ZF,Sevoflurane,Anaesthesia,9A78.6,Approved
D0W6SS,Choriogonadotropin alfa,Female infertility,GA31.Z,Approved
D0W6LI,Cosyntropin,Adrenocortical insufficiency,5A74,Approved
D0W6KM,Dasotraline,Attention deficit hyperactivity disorder,6A05.Z,Approved
D0W6KM,Dasotraline,Mood disorder,6A60-6E23,Phase 3
D0W6KM,Dasotraline,Eating disorder,6B82,Phase 3
D0W6GR,H1N1 influenza vaccine,Influenza virus infection,1E30-1E32,Approved
D0W6DY,Diphenylpyraline,Allergic rhinitis,CA08.0,Approved
D0W6DG,Pentazocine,Pain,MG30-MG3Z,Approved
D0W6CA,Cefpodoxime,Bacterial infection,1A00-1C4Z,Approved
D0W5UV,Ethacrynate Sodium,High blood pressure,BA00,Approved
D0W5MX,DTP vaccine,Bordetella pertussis infection,1C12.0,Approved
D0W5LS,Desoxycorticosterone Pivalate,Addison disease,5A74.0,Approved
D0W5HK,Sorafenib,Renal cell carcinoma,2C90,Approved
D0W5HK,Sorafenib,Hepatocellular carcinoma,2C12.02,Phase 3
D0W5HK,Sorafenib,Myelodysplastic syndrome,2A37,Phase 2
D0W5BS,FerriSeltz,Gastrointestinal disease,DE2Z,Approved
D0W4HZ,Lonafarnib,Hutchinson-Gilford progeria syndrome,LD2B,Approved
D0W4HZ,Lonafarnib,Myelodysplastic syndrome,2A37,Phase 3
D0W4HZ,Lonafarnib,Hepatitis D virus infection,1E51.2,Phase 2
D0W4HZ,Lonafarnib,Non-small-cell lung cancer,2C25.Y,Discontinued in Phase 3
D0W3YL,Bentoquatam,Contact dermatitis,EK0Z,Approved
D0W3SQ,H-101,Solid tumour/cancer,2A00-2F9Z,Approved
D0W3OS,Tibolone,Anabolic metabolism,5C50-5C8Z,Approved
D0W3NN,Polygeline,Blood transfusion,QB98,Approved
D0W2NM,Flunitrazepam,Insomnia,7A00-7A0Z,Approved
D0W2LR,Influenza virus vaccine,Influenza virus infection,1E30-1E32,Approved
D0W2HD,Mogamulizumab,Mycosis fungoides,2B01,Approved
D0W2HD,Mogamulizumab,Sezary syndrome,2B02,Approved
D0W2HD,Mogamulizumab,Cutaneous T-cell lymphoma,2B01,Phase 3
D0W2HD,Mogamulizumab,T-cell leukaemia,2A90,Phase 2
D0W2HD,Mogamulizumab,Solid tumour/cancer,2A00-2F9Z,Phase 1/2
D0W2EK,Ixabepilone,Breast cancer,2C60-2C65,Approved
D0W2AN,Emepronium,Urinary incontinence,MF50.2,Approved
D0W1RY,Hydroxyamphetamine Hydrobromide,Horner syndrome,8D8A.1,Approved
D0W1QI,Butizide,Congestive heart failure,BD10,Approved
D0W1DI,AS-1670542,Thrombocytopenia,3B64,Approved
D0W1DI,AS-1670542,Idiopathic thrombocytopenic purpura,3B64.10,Phase 3
D0W1BV,Acel-Immune,Bordetella pertussis infection,1C12.0,Approved
D0W0MF,Talbutal,Irritability,MB24,Approved
D0W0DY,Agrippal S1/MF-59 influenza vaccine,Influenza virus infection,1E30-1E32,Approved
D0W0BF,Anastrozole,Breast cancer,2C60-2C65,Approved
D0VU8Q,Mebeverine,Irritable bowel syndrome,DD91.0,Approved
D0VU2X,Conivaptan,Euvolemic hyponatremia,5C72,Approved
D0VT8P,Famciclovir,Virus infection,1A24-1D9Z,Approved
D0VR7W,Gemifloxacin,Bacterial infection,1A00-1C4Z,Approved
D0VP1V,Aclidinium,Chronic obstructive pulmonary disease,CA22,Approved
D0VM8K,Sodium ferric gluconate complex,Iron-deficiency anemia,3A00,Approved
D0VM2L,Zoledronate,Hypercalcaemia,5B91.0,Approved
D0VL8Q,Tiropramide,Pain,MG30-MG3Z,Approved
D0VH4V,Teplizumab,Type-1 diabetes,5A10,Approved
D0VH4V,Teplizumab,Melanoma,2C30,Phase 3
D0VG7Y,Elagolix sodium,Endometriosis,GA10,Approved
D0VF4H,Hydroxocobalamin,Vitamin B12 deficiency,5B5F,Approved
D0VF4H,Hydroxocobalamin,Lung injury,NB32.3Z,Phase 2
D0VB3Y,Manganese Sulfate,Overactive bladder,GC50.0,Approved
D0VB0U,Chlorphenesin,Muscular pain,FB56,Approved
D0VB0U,Chlorphenesin,Injury,NA00-ND5Z,Approved
D0VB0U,Chlorphenesin,Fungal infection,1F29-1F2F,Withdrawn from market
D0VA0I,Vorapaxar,Myocardial infarction,BA41-BA43,Approved
D0V9ZG,Cetraxate,Peptic ulcer,DA61,Approved
D0V9YR,Sulfamethazine,Bacterial infection,1A00-1C4Z,Approved
D0V9WF,Lestaurtinib,Acute myeloid leukaemia,2A60,Approved (orphan drug)
D0V9WF,Lestaurtinib,Myeloid leukaemia,2B33.1,Phase 3
D0V9WF,Lestaurtinib,Psoriasis vulgaris,EA90,Phase 2/3
D0V9VG,Rimegepant,Migraine,8A80,Approved
D0V9UY,Technetium Tc-99m Sulfur Colloid Kit,Radioactive tracer,N.A.,Approved
D0V9JR,Viloxazine,Major depressive disorder,6A70.3,Approved
D0V9DZ,Fluprednisolone,Asthma,CA23,Approved
D0V9BD,Bicalutamide,Prostate cancer,2C82.0,Approved
D0V8TQ,Aluminium,Hyperhidrosis,EE00,Approved
D0V8QT,Chlorambucil,Chronic lymphocytic leukaemia,2A82.0,Approved
D0V8PA,NERIDRONIC ACID,Bone disease,FC0Z,Approved
D0V8PA,NERIDRONIC ACID,Complex regional pain syndrome,8D8A.0,Phase 3
D0V8HJ,Fostamatinib,Immune thrombocytopenic purpura,3B64.13,Approved
D0V8HJ,Fostamatinib,Rheumatoid arthritis,FA20,Phase 3
D0V8HA,Mecamylamine,Essential hypertension,BA00,Approved
D0V7XF,Dopexamine,Cardiac failure,BD10-BD13,Approved
D0V7WS,Zotarolimus,Solid tumour/cancer,2A00-2F9Z,Approved
D0V7RH,Calcium levofolinate,Anemia,3A00-3A9Z,Approved
D0V7QT,AMI-121,Gastrointestinal disease,DE2Z,Approved
D0V7OH,Ceftiofur,Bacterial infection,1A00-1C4Z,Approved
D0V7IE,Pamiteplase,Thrombin deficiency,3B14.Z,Approved
D0V7DW,"Meningococcal groups A, C, Y and W-135 conjugate vaccine",Meningococcal infection,1C1C,Approved
D0V7CF,Indinavir,Human immunodeficiency virus infection,1C62,Approved
D0V6XJ,Hemsleyadin,Bacillary dysentery,1A02,Approved
D0V6RC,Satumomab Pendetide,Breast cancer,2C60-2C65,Approved
D0V6OA,Lurbinectedin,Small-cell lung cancer,2C25.Y,Approved
D0V6OA,Lurbinectedin,leukaemia,2A60-2B33,Phase 3
D0V6OA,Lurbinectedin,Ovarian cancer,2C73,Phase 3
D0V6OA,Lurbinectedin,Solid tumour/cancer,2A00-2F9Z,Phase 2
D0V6OA,Lurbinectedin,Endometrial cancer,2C76,Phase 2
D0V5ZZ,Propantheline,Stomach ulcer,DA60.Z,Approved
D0V5ZZ,Propantheline,Excessive sweating,EE00.Z,Approved
D0V5XJ,AG-AFZ709,Genitourinary disease,GA0Z-GC8Z,Approved
D0V5IW,Secnidazole,Amoebiasis,1A36,Approved
D0V5IW,Secnidazole,Bacterial vaginosis,MF3A,Approved
D0V5AJ,Antithrombin iii,Coagulation defect,3B10.0,Approved
D0V4ZN,Cobicistat/darunavir,Human immunodeficiency virus infection,1C62,Approved
D0V4YE,Technetium Tc-99m Pyro/Trimeta Phosphates Kit,Radioactive tracer,N.A.,Approved
D0V4WD,Ulipristal,Contraception,QA21,Approved
D0V4UF,Pramoxine,Anal fistula,DB50.1,Approved
D0V4TY,Oxidized glutathione,Breast cancer,2C60-2C65,Approved
D0V4TY,Oxidized glutathione,Bacterial infection,1A00-1C4Z,Investigative
D0V4QS,Olanzapine,Schizophrenia,6A20,Approved
D0V4JR,Fibrinogen,Pulmonary embolism,BB00,Approved
D0V4JR,Fibrinogen,Deep vein thrombosis,BD71,Approved
D0V4JQ,Interferon beta-1a,Multiple sclerosis,8A40,Approved
D0V4IB,Itraconazole,Fungal infection,1F29-1F2F,Approved
D0V4GY,Chlorhexidine,Bacterial infection,1A00-1C4Z,Approved
D0V4AS,Cellulose Sodium Phosphate,Hypercalciuria,MF98.0,Approved
D0V3ZA,Dihydroergotamine,Migraine,8A80,Approved
D0V3YT,BOCEPREVIR,Hepatitis C virus infection,1E51.1,Approved
D0V3SB,Prolastin,Alpha-1 antitrypsin deficiency,5C5A,Approved
D0V3GA,Acetyldigitoxin,Congestive heart failure,BD10,Approved
D0V2OX,Afamelanotide,Erythropoietic porphyrias,5C58.12,Approved
D0V2OX,Afamelanotide,Vitiligo,ED63.0,Phase 2
D0V2NJ,Somatropin biosimilar,Growth hormone deficiency,5A61.3,Approved
D0V2KE,Oralgen,Type-2 diabetes,5A11,Approved
D0V2JK,Nomegestrol acetate,Breast cancer,2C60-2C65,Approved
D0V2GH,Nicergoline,Senile dementia,6D8Z,Approved
D0V2GH,Nicergoline,Brain ischaemia,8B1Z,Approved
D0V2DV,Sodium phosphate dibasic/sodium phosphate monobasic,Multiple sclerosis,8A40,Approved
D0V1UW,Nitisinone,Hereditary tyrosinemia type 1,5C50.11,Approved
D0V1QC,Ethacrynic,Edema,MG29,Approved
D0V0YH,Flu vaccine,Seasonal influenza infection,1E30,Approved
D0V0RY,Factor ix human,Hemophilia,3B10.0,Approved
D0V0OP,Polyphenon e,Perianal wart,1A95,Approved
D0V0LB,Cysteamine,Nephropathic cystinosis,5C60,Approved
D0V0IX,Epoprostenol,Pulmonary hypertension,BB01,Approved
D0UX6Z,Heparin Sodium,Coagulation defect,3B10.0,Approved
D0UX6Z,Heparin Sodium,Deep vein thrombosis,BD71,Approved
D0UW7D,Varicella zoster virus vaccine live,Zoster,1E91,Approved
D0UU9Y,Propentofylline propionate,Alzheimer disease,8A20,Approved
D0UT4W,Zanubrutinib,Mantle cell lymphoma,2A85.5,Approved
D0UT4W,Zanubrutinib,Chronic lymphocytic leukaemia,2A82.0,Phase 3
D0UT4W,Zanubrutinib,Small lymphocytic lymphoma,2A82.0,Phase 3
D0UT4W,Zanubrutinib,Waldenstrom macroglobulinemia,2A85.4,Phase 3
D0UT4W,Zanubrutinib,B-cell lymphoma,2A86,Phase 1
D0UQ1R,Eloctate,Haemophilia A,3B10.0,Approved
D0UP9M,Gusperimus trihydrochloride,Immune System disease,4A01-4B41,Approved
D0UO2P,Avapritinib,Gastrointestinal stromal tumour,2B5B,Approved
D0UO2P,Avapritinib,Systemic mastocytosis,2A21.0,Phase 1
D0UO2P,Avapritinib,Mast cell leukaemia,2A21.00,Phase 1
D0UM7O,Ketamine,Anaesthesia,9A78.6,Approved
D0UL9R,Tesamorelin,HIV-associated lipodystrophy,1C62.1,Approved
D0UL2L,Lornoxicam,Migraine,8A80,Approved
D0UI7K,Emapalumab,Primary haemophagocytic lymphohistiocytosis,4A01.23,Approved
D0UH0S,H1N1 influenza vaccine,Influenza virus infection,1E30-1E32,Approved
D0UF9W,Pegaptanib,Neovascular age-related macular degeneration,9B78.3Z,Approved
D0UF6M,Thiacetazone,Mycobacterium infection,1B10-1B21,Approved
D0UE9X,Gamolenic acid,Allergy,4A80-4A85,Approved
D0UA2Z,Epicillin,Bacterial infection,1A00-1C4Z,Approved
D0UA0I,Metergolin,Hyperprolactinaemia,5A60.1,Approved
D0U9QU,Ibopamine hci,Cardiac disease,BA00-BE2Z,Approved
D0U9MR,Tilidine,Pain,MG30-MG3Z,Approved
D0U9FD,Trospium chloride,Discovery agent,N.A.,Approved
D0U9EN,Actimmune,Cystic fibrosis,CA25,Approved
D0U9EN,Actimmune,Idiopathic pulmonary fibrosis,CB03.4,Approved
D0U9EN,Actimmune,Hepatic fibrosis,DB93.0,Approved
D0U9EN,Actimmune,Friedreich's ataxia,8A03.10,Phase 3
D0U9EN,Actimmune,Solid tumour/cancer,2A00-2F9Z,Phase 1
D0U8UV,Dimenhydrinate,Nausea,MD90,Approved
D0U8US,Interferon gamma-1b,Chronic granulomatous disease,4A00.0Y,Approved
D0U8JN,Pegaspargase,Solid tumour/cancer,2A00-2F9Z,Approved
D0U8AT,Echothiophate Iodide,Chronic glaucoma,9C61.0Z,Approved
D0U7SH,Desmopressin,Diabetic complication,5A2Y,Approved
D0U7KM,Boostrix,Bordetella pertussis infection,1C12.0,Approved
D0U7IL,Sotagliflozin,Heart failure,BD10-BD13,Approved
D0U7IL,Sotagliflozin,Type-1 diabetes,5A10,Phase 3
D0U7IL,Sotagliflozin,Type-2 diabetes,5A11,Phase 3
D0U7IL,Sotagliflozin,Cardiovascular disease,BA00-BE2Z,Phase 3
D0U7HJ,Certoparin sodium,Deep vein thrombosis,BD71,Approved
D0U7GP,RAUWOLFIA SERPENTINA ROOT,Discovery agent,N.A.,Approved
D0U7GK,Thalidomide,Multiple myeloma,2A83,Approved
D0U7BW,Carbachol,Glaucoma/ocular hypertension,9C61,Approved
D0U6LM,Midazolam,Irritability,MB24,Approved
D0U6LM,Midazolam,Epilepsy,8A60-8A68,Phase 3
D0U6EX,Quadracel,leukaemia,2A60-2B33,Approved
D0U6BJ,Desoxyribonuclease,Female genital tract inflammation,GA0Z,Approved
D0U5VZ,Bepotastine,Allergic rhinitis,CA08.0,Approved
D0U5UC,Belumosudil,Graft-versus-host disease,4B24,Approved
D0U5UC,Belumosudil,Psoriasis vulgaris,EA90,Phase 2
D0U5UC,Belumosudil,Rheumatoid arthritis,FA20,Phase 2
D0U5UC,Belumosudil,Systemic lupus erythematosus,4A40.0,Phase 1
D0U5UC,Belumosudil,Scleroderma,4A42,Phase 1
D0U5UC,Belumosudil,Psoriatic arthritis,FA21,Phase 1
D0U5SI,Procainamide,Ventricular arrhythmias,BC71,Approved
D0U5SC,CT-102,Diabetic foot ulcer,BD54,Approved
D0U5RT,Primidone,Epilepsy,8A60-8A68,Approved
D0U5QK,Acetaminophen,Pain,MG30-MG3Z,Approved
D0U5OE,Loxapine,Schizophrenia,6A20,Approved
D0U5OB,Charybdotoxin,Scorpion envenoming syndrome,8D43,Approved
D0U5HU,Cisplatin,Solid tumour/cancer,2A00-2F9Z,Approved
D0U5HU,Cisplatin,Osteosarcoma,2B51,Phase 2
D0U5GB,Lopinavir,Human immunodeficiency virus infection,1C62,Approved
D0U5FS,Fluspirilene,Schizophrenia,6A20,Approved
D0U5FF,Leuprolide,Prostate cancer,2C82.0,Approved
D0U5CE,Capsaicin,Neuropathic pain,8E43.0,Approved
D0U4YG,Penicillin G Benzathine,Bacterial infection,1A00-1C4Z,Approved
D0U4XJ,Luliconazole,Tinea pedis,1F28.2,Approved
D0U4XJ,Luliconazole,Dry eye disease,9E1Z,Phase 2/3
D0U4XC,Carticel,Articular cartilage disorder,FA34.Y,Approved
D0U4VT,Trimethadione,Pancreatic cancer,2C10,Approved
D0U4VT,Trimethadione,Epilepsy,8A60-8A68,Approved
D0U4UQ,Hydrochlorothiazide,Hypertension,BA00-BA04,Approved
D0U4HZ,Bilive,Hepatitis B virus infection,1E51.0,Approved
D0U4CE,Bosentan,Pulmonary arterial hypertension,BB01.0,Approved
D0U3YU,Ademetionine,Hepatic fibrosis,DB93.0,Approved
D0U3YU,Ademetionine,Cerebrovascular ischaemia,8B1Z,Phase 4
D0U3YB,Masoprocol,Prostate cancer,2C82.0,Approved
D0U3SY,Alectinib,Lung cancer,2C25.0,Approved
D0U3SY,Alectinib,Non-small-cell lung cancer,2C25.Y,Phase 2
D0U3LS,Triazolam,Insomnia,7A00-7A0Z,Approved
D0U3IG,Cetrimide,Skin infection,1F28-1G0Z,Approved
D0U3GL,Oxandrolone,Alcoholic hepatitis,DB94.1,Approved
D0U3ED,E-2007,Diabetic neuropathy,8C0Z,Approved
D0U3ED,E-2007,Parkinson disease,8A00.0,Discontinued in Phase 3
D0U3EC,Benazepril,Hypertension,BA00-BA04,Approved
D0U3DU,Dexmedetomidine,Irritability,MB24,Approved
D0U3CR,Guanadrel Sulfate,Hypertension,BA00-BA04,Approved
D0U2OO,Buspirone,Anxiety disorder,6B00-6B0Z,Approved
D0U2JP,Sitagliptin,Type-2 diabetes,5A11,Approved
D0U2JP,Sitagliptin,Peripheral arterial disease,BD4Z,Phase 1/2
D0U1ZV,NERATINIB MALEATE,HER2/NEU overexpressing breast cancer,2C60-2C65,Approved
D0U1ZD,Ioversol,Cardiovascular disease,BA00-BE2Z,Approved
D0U1TA,RHuEPO,Solid tumour/cancer,2A00-2F9Z,Approved
D0U1OM,Bromfenac,Postoperative inflammation,1A00-CA43.1,Approved
D0U1OM,Bromfenac,Inflammation,1A00-CA43.1,Withdrawn from market
D0U1OE,Thioridazine,Schizophrenia,6A20,Approved
D0U0XD,Estradiol Cypionate,Hormone replacement therapy,8E01,Approved
D0U0VU,SILODOSIN,Benign prostatic hyperplasia,GA90,Approved
D0U0RZ,Phentermine,Obesity,5B81,Approved
D0U0OT,Melevodopa,Parkinson disease,8A00.0,Approved
D0U0KW,Ramelteon,Insomnia,7A00-7A0Z,Approved
D0U0KW,Ramelteon,Circadian rhythm sleep disorder,7A60-7A65,Terminated
D0TZ1G,Procaine,Anaesthesia,9A78.6,Approved
D0TZ1C,Curemisinin,Malaria,1F40-1F45,Approved
D0TY5N,Cotinine,Insecticide,N.A.,Approved
D0TY0G,Mumps skin test antigen,Allergy,4A80-4A85,Approved
D0TX7T,Sulglycotide,Active duodenal ulcer,DA63,Approved
D0TV9K,Propiverine,Urinary incontinence,MF50.2,Approved
D0TV6I,Safinamide,Parkinson disease,8A00.0,Approved
D0TV6I,Safinamide,Idiopathic parkinson disease,8A00.0Z,Phase 3
D0TV0C,Pasireotide,Cushing disease,5A70,Approved
D0TS1Z,Floxuridine,Solid tumour/cancer,2A00-2F9Z,Approved
D0TS1Z,Floxuridine,Colorectal cancer,2B91.Z,Approved
D0TR5X,Fluoxetine,Depression,6A70-6A7Z,Approved
D0TQ1G,Rimantadine,Influenza A virus infection,1E30,Approved
D0TP8R,Iobenguane Sulfate I-131,Pheochromocytoma,5A75,Approved
D0TP2W,Thymopentin,Immune System disease,4A01-4B41,Approved
D0TL1L,Fendrix,Hepatitis B virus infection,1E51.0,Approved
D0TK7R,LGX818,Melanoma,2C30,Approved
D0TG7I,Erythromycin/sulfisoxazole,Gram-positive bacterial infection,1B74-1G40,Approved
D0TG1H,Diclofenac,Osteoarthritis,FA00-FA05,Approved
D0TD2G,Canakinumab,Cryopyrin-associated periodic syndromes,4A60.1,Approved
D0TD2G,Canakinumab,Rheumatoid arthritis,FA20,Approved
D0TD2G,Canakinumab,Vasculitis,4A44,Phase 2
D0TD2G,Canakinumab,Urticaria,EB00-EB05,Phase 2
D0TD1R,Lusutrombopag,Thrombocytopenia,3B64,Approved
D0TD1R,Lusutrombopag,Liver disease,DB90-BD99,Phase 2
D0TC7C,Hidrosmin,Cardiovascular disease,BA00-BE2Z,Approved
D0TB8C,Nadrolone phenylpropionate,Solid tumour/cancer,2A00-2F9Z,Approved
D0TB1L,Indium In-111 Chloride,Diagnostic radiopharmaceutical,N.A.,Approved
D0T9TJ,Orlistat,Obesity,5B81,Approved
D0T9TE,Ombitasvir + paritaprevir + ritonavir,Hepatitis C virus infection,1E51.1,Approved
D0T9DT,Diatrizoate,Urinary tract disease,GC2Z,Approved
D0T8ZA,Zohydro ER,Pain,MG30-MG3Z,Approved
D0T8XB,Anagliptin,Type-2 diabetes,5A11,Approved
D0T8VY,Aceclofenac,Inflammation,1A00-CA43.1,Approved
D0T8KD,Eberconazole,Fungal infection,1F29-1F2F,Approved
D0T8HZ,Pegvaliase,Phenylketonuria,5C50.0,Approved
D0T8GD,Nicotine,Nicotine dependence,6C4A.2,Approved
D0T8GD,Nicotine,Tobacco dependence,6C4A.2,Clinical trial
D0T8EH,Pirarubicin,Breast cancer,2C60-2C65,Approved
D0T7ZQ,Estradiol Acetate,Hormone replacement therapy,8E01,Approved
D0T7WL,Pirmenol,Heart arrhythmia,BC65,Approved
D0T7US,Eprosartan,Hypertension,BA00-BA04,Approved
D0T7OW,Dopamine,Parkinson disease,8A00.0,Approved
D0T7OW,Dopamine,Hypotension,BA20-BA21,Phase 1
D0T6XX,Pantoprazole,Gastroesophageal reflux disease,DA22.Z,Approved
D0T6XU,Myelopid,Immune System disease,4A01-4B41,Approved
D0T6WT,Heroin diacetylmorphine,Neurological disorder,6B60,Approved
